USERNAME,RANK,RATING,MAX RATING,TWITTER HANDLE,COUNTRY
goodbaton,270th,2490,2540,goodbaton, Japan
Kurpilyansky,272nd,2489,2489, , Russia
Gassa,272nd,2489,2560, , Russia
subscriber,274th,2485,2485, , Belarus
tos,275th,2481,2544,toslunar, Japan
lis,276th,2480,2480, , China
reality,277th,2479,2479, , Moldova
kimiyuki,277th,2479,2479, , Japan
isaf27,279th,2478,2478,isaf27, Russia
xiper,280th,2476,2476, , China
Wrinx,280th,2476,2506, , Ukraine
kajebiii,282nd,2474,2566, , Republic of Korea
scanhex,282nd,2474,2474, , Russia
WuHongxun,284th,2472,2505, , China
chenmark,284th,2472,2477, , United States of America
alish,286th,2470,2543, , Iran
frank_c1,287th,2469,2508, , China
Speedster,288th,2464,2506, , Kazakhstan
I_love_Hoang_Yen,289th,2463,2489, , Viet Nam
wafrelka,290th,2461,2461,wafrelka, Japan
xzkflowey,291st,2459,2459, , China
JTJL,291st,2459,2574, , Japan
satanic0258,293rd,2458,2458,satanic0258, Japan
savinov,294th,2456,2456, , Russia
MAK_culcul,295th,2454,2464,plummak11, Japan
Wild_Hamster,296th,2452,2452, , Ukraine
guangxuan,297th,2451,2460, , Singapore
funcsr,298th,2449,2489, , China
yuma000,299th,2448,2448, , Japan
swm_sxt,300th,2445,2445, , China
littlesheep,300th,2445,2465, , China
fruwajacybyk,300th,2445,2452, , Poland
pavelsavchenkov,303rd,2442,2450, , Russia
bigINnnner,303rd,2442,2551, , Taiwan
akashdeep,305th,2440,2443, , India
laurageorgescu,306th,2433,2433, , Romania
BudAlNik,307th,2432,2435,budalnik, Russia
pwild,308th,2431,2452, , Germany
ei13333,308th,2431,2498,ei13333, Japan
ryoissy,308th,2431,2456, , Japan
wave,311st,2430,2517, , Czech Republic
Denisson,312nd,2427,2427, , Russia
zhan8822,313rd,2426,2468, , China
mcalancea,314th,2425,2461, , Romania
bobogei81123,314th,2425,2425, , Taiwan
shanquan2,316th,2424,2424, , China
ivan100sic,317th,2423,2423, , Serbia
orzGEOTCBRL,318th,2421,2421, , China
Kronecker,318th,2421,2525, , Russia
kcm1700,318th,2421,2522,algorithmKcm, Republic of Korea
Cyani,321st,2420,2420, , China
yoseisan,322nd,2419,2477, , Moldova
tun,322nd,2419,2419, , China
ESpace,324th,2418,2469, , China
abc123,325th,2412,2412, , Viet Nam
bidzilya,325th,2412,2412, , Russia
linkct,327th,2411,2464, , China
Mikester,327th,2411,2478, , Romania
nobik,327th,2411,2485, , Ukraine
cchao,327th,2411,2433, , Taiwan
pes,327th,2411,2442, , Japan
Victor_Lee,332nd,2407,2407, , China
ats5515,332nd,2407,2441,ats5515, Japan
famafka,334th,2403,2411, , Ukraine
nhho,334th,2403,2403, , Hong Kong
ixmel_rd,334th,2403,2419,mel_fall524, Japan
OnionPringles,337th,2401,2401, , Republic of Korea
joy09272002,338th,2399,2399, , Taiwan
azukun,338th,2399,2444, , Russia
drken,340th,2397,2405,drken1215, Japan
smiken,341st,2393,2393,smiken_61, Japan
Fcdkbear,342nd,2392,2392, , Ukraine
omeometo,342nd,2392,2392,omeometo, Japan
Anson,344th,2390,2390, , China
AcrossTheSky,345th,2389,2389, , China
cyand1317,346th,2386,2386,Pisces000221, China
re_sha,347th,2385,2479,_re_sha_, Japan
leign,347th,2385,2385, , Japan
TusanHomichi,349th,2383,2383, , United States of America
ogiekako,349th,2383,2544,ogiekako, Japan
gasin,351st,2382,2478,_gacin, Japan
enot,352nd,2381,2499, , Russia
Hec,353rd,2379,2503,osrehun, Japan
hamadu,354th,2378,2503,hama_du, Japan
EgorLifar,355th,2376,2447, , Russia
pekempey,355th,2376,2555,pekempey, Japan
sillybee,357th,2375,2375, , China
zhan8855,357th,2375,2375, , China
OrenjiSora,359th,2373,2373, , China
rqgao2014_a,360th,2369,2369,rqgao2014, China
TianXie,360th,2369,2512, , China
Nero,360th,2369,2539, , China
demon1999,363rd,2368,2391, , Russia
azneye,363rd,2368,2368, , Canada
